symptom_keywords,medicine_name,dosage,home_remedy,side_effects
 Schizophrenia,Sulpitac 200 Tablet,As directed by physician,,Nausea Vomiting Dryness in mouth Constipation Weight gain Decreased blood pressure Dystonia involuntary muscle contractions Akathisia inability to stay still Parkinsonism Increased prolactin level in blood
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Supermet XL 25 Tablet,As directed by physician,,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
 Abdominal pain,Stelbid Spas 80mg/50mg Tablet,As directed by physician,,Diarrhea Nausea Vomiting Dryness in mouth Dizziness Vertigo Insomnia difficulty in sleeping Hypotension low blood pressure Tachycardia Sweating Constipation Dyspepsia Abdominal pain Increased liver enzymes
Treatment of Bacterial infections,Sporidex DS 250mg Tablet,As directed by physician,,Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
Treatment of Fungal infections,Syntran SB Capsule,As directed by physician,,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
Treatment of Dry cough,Soventus-DC Oral Suspension,As directed by physician,,Palpitations Dizziness Fainting Fatigue Headache Sleepiness Gastrointestinal disturbance Confusion Numbness
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,S-Celepra 10 Tablet,As directed by physician,,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea,Sibofix 550 Tablet,As directed by physician,,Dizziness Nausea Peripheral edema Ascites accumulation of fluid in the abdominal cavity Fatigue Depression Nasopharyngitis inflammation of the throat and nasal passages Joint pain Rash Muscle pain
Treatment of Bacterial infections,Staphonex 500mg Capsule,As directed by physician,Bloating Indigestion Gastrointestinal disturbance,
Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Sartel 20 Tablet,As directed by physician,,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Szetalo 10 Tablet,As directed by physician,,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
 Hypertension (high blood pressure),Sartel-C 40 Tablet,As directed by physician,,Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Treatment and prevention of Chronic obstructive pulmonary disease (COPD),Spirodin 650 Tablet MR,As directed by physician,,Headache Nausea Vomiting Upset stomach
 Pain relief,Seradic-Plus Tablet,As directed by physician,,Nausea Vomiting Heartburn Indigestion Diarrhea Loss of appetite Stomach pain
Treatment of Edema,Spiromide Tablet,As directed by physician,Breast enlargement in male Electrolyte imbalance Volume depletion,
Treatment of Benign prostatic hyperplasia,Silofast 4 Capsule,As directed by physician,,Retrograde ejaculation Dizziness Diarrhea Orthostatic hypotension sudden lowering of blood pressure on standing Headache Blurred vision Nasopharyngitis inflammation of the throat and nasal passages Nasal congestion stuffy nose
 Stroke,Storax PR Tablet,As directed by physician,,Weight gain Hyperactivity Stomach pain Nervousness Diarrhea Decreased blood pressure
 Osteoarthritis,Synvisc Hylan GF 20mg Injection,As directed by physician,Limited data available,
 Contraception,Smartilon 20 Tablet,As directed by physician,,Nausea Stomach pain Headache Irregular uterine bleeding Weight gain Breast pain
Treatment of Bacterial infections,Stafcure 250 Tablet,As directed by physician,,Rash Vomiting Allergic reaction Increased liver enzymes Nausea Diarrhea
Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis,Sodanet 500mg Tablet,As directed by physician,,Increased sodium level in blood Brain swelling Alkalosis Decreased potassium level in blood
 Bacterial skin infections,Sofraxine Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Common cold,Sinarest-AF Paediatric Drops,As directed by physician,,Vomiting Headache Restlessness Anxiety Dizziness Tremors Pale skin High blood pressure Seizure Cerebral hemorrhage Palpitations Paresthesia tingling or pricking sensation Abdominal pain Allergic reaction Decreased appetite Blurred vision Dry nose Dry throat Excitement Rash
Treatment of Pain due to muscle spasm,Seradic-MR Tablet,As directed by physician,,Nausea Vomiting Heartburn Stomach pain Diarrhea Loss of appetite Dryness in mouth
Treatment of Chronic obstructive pulmonary disease (COPD),Seroflo 500 Rotacap,As directed by physician,,Headache Cough Upper respiratory tract infection Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
Treatment of Bacterial eye infections,Senzmox Eye Drop,As directed by physician,Eye discomfort Dry eye Burning sensation in eye,
 Arrhythmia,Sotalar 40 Tablet,As directed by physician,,Fatigue Slow heart rate Breathlessness Arrhythmia irregular heartbeats Weakness Dizziness
Treatment of Fungal skin infectionsTreatment of Fungal infections,SzHH Cream,As directed by physician,,Application site reactions burning irritation itching and redness Skin irritation
 Hypertension (high blood pressure),Starpress R XL 25 Tablet,As directed by physician,,Nausea Taste change Vomiting Diarrhea Constipation Cough Dizziness Weakness Headache Cold extremities Slow heart rate Numbness of extremity Increased potassium level in blood Decreased blood pressure
Treatment of Acne,Saferet 10 Tablet,As directed by physician,,Dry skin Increased liver enzymes Rash
Treatment of Fungal skin infectionsTreatment of Fungal infections,Sertaspor Cream,As directed by physician,,Application site reactions burning irritation itching and redness Skin irritation
Treatment of Bacterial skin infections,Supirocin Cream,As directed by physician,,Itching Burning sensation Stinging sensation Pain
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Starpress XL 12.5 Tablet,As directed by physician,,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
 Pain relief,Sistal Plus Tablet,As directed by physician,,Nausea Vomiting Indigestion Stomach pain Loss of appetite Diarrhea
 Fungal skin infections Fungal nail infections,Synpirox Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Bacterial eye infections,Saptob Eye Drop,As directed by physician,Eye irritation Burning sensation Eye redness Eye itching,
 Bacterial infections,Swich O Tablet,As directed by physician,,Nausea Vomiting Diarrhea Stomach pain Headache
Treatment of Migraine,Sunapro Tablet,As directed by physician,,Nausea Dizziness Heartburn Chest discomfort Dryness in mouth Weakness Muscle stiffness Drowsiness Numbness of extremity Arrhythmia irregular heartbeats Feeling hot
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Sonirab-DSR Capsule,As directed by physician,,Diarrhea Stomach pain Dryness in mouth Headache Dizziness Flatulence Weakness Flu like symptoms
Treatment of Bacterial skin infections,Supirocin-B Plus Ointment,As directed by physician,Application site reactions burning irritation itching and redness,
 Sunburn,Sofirash Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Female infertilityTreatment of Male hypogonadism,Sifasi Aqua 5000IU Injection,As directed by physician,,Injection site pain Headache Fatigue Depression Irritation Restlessness
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,S Citadep 10 Tablet,As directed by physician,,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
Treatment of Kidney stone,Stonil Oral Solution,As directed by physician,,Nausea Vomiting Diarrhea Stomach pain
Treatment of Hypertension (high blood pressure),Samlokind-AT Tablet,As directed by physician,,Sleepiness Headache Ankle swelling Flushing sense of warmth in the face ears neck and trunk Slow heart rate Palpitations Nausea Edema swelling Constipation Tiredness Cold extremities
Treatment of Neuropathic pain,Synaps-NT Tablet,As directed by physician,,Constipation Weight gain Orthostatic hypotension sudden lowering of blood pressure on standing Increased heart rate Dizziness Sleepiness Tiredness Blurred vision Dryness in mouth Difficulty in urination Uncoordinated body movements
Treatment of Sneezing and runny nose due to allergies,Spiromont-F Tablet,As directed by physician,,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
 Stroke,Somazina Plus 400 Tablet,As directed by physician,,Weight gain Hyperactivity Stomach pain Nervousness Diarrhea Decreased blood pressure
Treatment of High cholesterol Prevention of heart attack and stroke,Statpure 20 Tablet,As directed by physician,,Muscle pain Weakness Headache Abdominal pain Dizziness Joint pain Nausea
Treatment of ConstipationTreatment of Hepatic encephalopathy,Swiftolac Syrup,As directed by physician,,Abdominal pain Nausea Vomiting Diarrhea
Treatment of Anal fissure,Softee Cream,As directed by physician,,Burning sensation Tingling Rash
 Heart attack prevention and high cholesterol,Stator CV 10mg/75mg Capsule,As directed by physician,,Stomach pain Diarrhea Indigestion Constipation Headache Dizziness Muscle pain Weakness Increased glucose level in blood Increased liver enzymes
Treatment of Bacterial infections of urinary tract,Sysnit-SR Tablet,As directed by physician,,Nausea Vomiting Diarrhea
Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS),Smartinor CR 10mg Tablet,As directed by physician,,Headache Dizziness Breast tenderness Nausea Vaginal spotting Vomiting Abdominal cramp
Treatment of Acne,Sebumclear N Gel,As directed by physician,,Skin peeling Erythema skin redness Dry skin Burning sensation at the site of application
Treatment of Piles,Sucralcoat Ano Rectal Cream,As directed by physician,Numbness Application site reactions burning irritation itching and redness,
Treatment of Abdominal pain,Spurge Tablet,As directed by physician,,Nausea Vomiting Diarrhea Dryness in mouth Heartburn Vertigo Insomnia difficulty in sleeping Hypotension low blood pressure Fast heart rate Sweating Constipation Increased liver enzymes Increased white blood cell count eosinophils Decreased white blood cell count lymphocytes Low blood platelets Purpura Agranulocytosis deficiency of granulocytes in the blood Breathlessness Ringing in ear Abdominal pain Flatulence Indigestion Stomach inflammation Confusion Depression
Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Sertima 50 Tablet,As directed by physician,,Delayed ejaculation Erectile dysfunction Indigestion Insomnia difficulty in sleeping Low sexual desire Nausea Tremors Diarrhea Increased sweating Loss of appetite Sleepiness Taste change
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of StrokePrevention of Migraine,Starcad-Beta 25 Tablet ER,As directed by physician,,Fatigue Slow heart rate Constipation Diarrhea Dizziness Cold extremities
Treatment of Allergic conditions,Stanhist 10 Tablet,As directed by physician,,Sleepiness Fatigue Vomiting Dryness in mouth Headache Constipation
Improving Abdominal painTreatment of Irritable bowel syndrome,Spasmonil Drop,As directed by physician,,Nausea Vomiting Blurred vision Drowsiness Nervousness Constipation Diarrhea Burping Loss of appetite
Treatment of Bacterial infections,Safexim 200 Tablet DT,As directed by physician,,Nausea Stomach pain Indigestion Diarrhea
Treatment of Skin infections,Skintop Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Serlift 100 Tablet,As directed by physician,,Delayed ejaculation Erectile dysfunction Indigestion Insomnia difficulty in sleeping Low sexual desire Nausea Tremors Diarrhea Increased sweating Loss of appetite Sleepiness Taste change
Treatment of Type 2 diabetes mellitus,Semi Amaryl M Tablet PR,As directed by physician,,Hypoglycemia low blood glucose level Headache Nausea Diarrhea Flatulence
 Muscle relaxation,Synaptol 50 Tablet,As directed by physician,,Sleepiness Fatigue Dryness in mouth Muscle weakness Nausea Vomiting Abdominal pain
Treatment of Female infertility,Safeova Tablet,As directed by physician,No common side effects seen,
Treatment of Bacterial infections,Symbiotik XL 625 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
 Scabies,Scabiped Lotion,As directed by physician,,Application site reactions burning irritation itching and redness Dry skin
 Pain relief,Serax D Tablet,As directed by physician,,Nausea Vomiting Heartburn Stomach pain Indigestion Diarrhea Loss of appetite
Treatment of Chronic obstructive pulmonary disease (COPD),Seretide 50mcg/500mcg Accuhaler,As directed by physician,,Headache Cough Upper respiratory tract infection Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
Treatment of Rheumatoid arthritisTreatment of Ulcerative colitisTreatment of Crohn’s diseaseTreatment of Ankylosing spondylitisTreatment of Psoriatic arthritis,Salazar DS Tablet,As directed by physician,,Diarrhea Gastrointestinal discomfort Headache Loss of appetite Nausea Oligospermia low sperm count Vomiting
 Multiple sclerosis (MS),Sclerifuma 240 Capsule DR,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Abdominal pain Diarrhea Nausea Vomiting Indigestion Stomach inflammation Increased liver enzymes Rash
 Contraception,Smartilon 30 Tablet,As directed by physician,,Nausea Stomach pain Headache Irregular uterine bleeding Weight gain Breast pain
 Benign prostatic hyperplasia,Silodal-D4 Tablet Combipack,As directed by physician,,Dizziness Orthostatic hypotension sudden lowering of blood pressure on standing Headache Ejaculation disorder Nausea Infection Abdominal pain
Treatment of Chronic obstructive pulmonary disease (COPD),Symbicort 320mcg/9mcg Turbuhaler,As directed by physician,,Headache Nausea Vomiting Stomach discomfort Dizziness Cough Nasopharyngitis inflammation of the throat and nasal passages Upper respiratory tract infection Sinus inflammation Fungal infection of oropharynx Tremors Palpitations Voice change
 Bacterial skin infections,Sufrate TP Ointment,As directed by physician,,Dry skin Application site reactions burning irritation itching and redness
 High cholesterol,Storvas EZ 10 Tablet,As directed by physician,,Nausea Muscle pain Increased transaminase level in blood Upper respiratory tract infection
Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Storax 500 Tablet,As directed by physician,,Decreased blood pressure Arrhythmia irregular heartbeats Stomach pain Diarrhea Insomnia difficulty in sleeping Rash Peripheral neuropathy tingling and numbness of feet and hand
 Schizophrenia,Soltus 100 Tablet,As directed by physician,,Nausea Vomiting Dryness in mouth Constipation Weight gain Decreased blood pressure Dystonia involuntary muscle contractions Akathisia inability to stay still Parkinsonism Increased prolactin level in blood
 Prevention of kidney transplant rejection,Siromus 1mg Tablet,As directed by physician,,Nausea Increased blood lipid level Low blood platelets Headache Abdominal pain Fever Anemia low number of red blood cells Urinary tract infection Diarrhea High blood pressure Increased creatinine level in blood Joint pain Edema swelling
Treatment of Erectile dysfunction,Silagra 100mg Tablet,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Headache Blurred vision Indigestion Muscle pain Upset stomach Rash Nasal congestion stuffy nose Dizziness Nausea
 Neuropathic pain,Senseit Gel,As directed by physician,Limited data available,
Treatment of Bacterial infections,Sporidex Redimix Oral Suspension,As directed by physician,,Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
Treatment of Bacterial infections,Sensiclav 375 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Breast cancerTreatment of Infertility due to anovulation,Stimufol 2.5mg Tablet,As directed by physician,,Fatigue Hypercholesterolemia high cholesterol Increased sweating Hot flashes Bone pain Dizziness Joint pain Edema swelling Flushing sense of warmth in the face ears neck and trunk
 Pain relief,Somagesic Forte Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Heartburn Diarrhea Loss of appetite
Treatment of DepressionTreatment of Anxiety disorderTreatment of Diabetic nerve painTreatment of FibromyalgiaTreatment of Neuropathic painTreatment of Stress urinary incontinence,Sympta 20 Tablet,As directed by physician,,Nausea Headache Dryness in mouth Sleepiness Dizziness
Treatment of Neuropathic pain,Sonaxa NT 75mg/10mg Tablet,As directed by physician,,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Blurred vision Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Uncoordinated body movements
Treatment of Chronic kidney disease,Septasteril Tablet,As directed by physician,,Increased calcium level in blood
 Pain due to smooth muscle spasm,Spasmopriv 100mg Capsule,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Photophobia Dilatation of pupil Dryness in mouth Palpitations Constipation Arrhythmia irregular heartbeats Dry skin Increased heart rate Difficulty in urination Excessive thirst Loss of accommodation Reduce bronchial secretion
 Stroke,Strozina Plus Tablet,As directed by physician,,Weight gain Hyperactivity Stomach pain Nervousness Diarrhea Decreased blood pressure
Treatment of Intestinal ulcersTreatment of Stomach ulcers,Sucral Tablet,As directed by physician,Constipation,
 Skin infectionsTreatment of Mouth infection,Skinn-C Soap,As directed by physician,No common side effects seen,
 Schizophrenia,Sizopin 200 Tablet,As directed by physician,,Dizziness Fainting Constipation Fever Weight gain Decreased white blood cell count Extrapyramidal symptoms Increased liver enzymes Drowsiness Seizure Increased white blood cell count eosinophils Anticholinergic effects Tachycardia Excessive salivation
 Pain relief,Safediclo 20mg/100mg Capsule SR,As directed by physician,,Nausea Flatulence Indigestion Diarrhea Constipation Flu like symptoms
Treatment of Type 2 diabetes mellitus,Switglim-M 2/500 Tablet PR,As directed by physician,,Hypoglycemia low blood glucose level Headache Nausea Diarrhea Flatulence
Treatment of Overactive bladder (OAB) symptoms,Soliact 10 Tablet,As directed by physician,,Dryness in mouth Constipation Blurred vision Nausea Upset stomach Urinary tract infection
 Muscle relaxation,Synaptol SR 300 Tablet,As directed by physician,,Sleepiness Fatigue Dryness in mouth Muscle weakness Nausea Vomiting Abdominal pain
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Superia Tablet,As directed by physician,,Diarrhea Dizziness Flatulence Headache Nausea Sore throat Stomach pain Vomiting
Treatment of Type 2 diabetes mellitus,Switglim MV 2/0.3 Tablet ER,As directed by physician,,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
 High cholesterolPrevention of Heart attack,Storvas 5 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
 Pain reliefTreatment of Fever,Suppol Child 170mg Suppository,As directed by physician,,Anal irritation Constipation Stomach pain Nausea Vomiting
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,Superia L Capsule SR,As directed by physician,,Nausea Stomach pain Diarrhea Flatulence Constipation Headache Dizziness Weakness Sleepiness Flu like symptoms
Treatment of Chronic obstructive pulmonary disease (COPD),Seroflo 125 Synchrobreathe,As directed by physician,,Headache Cough Upper respiratory tract infection Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
 Tetanus Diphtheria,SII TD-Vac Vaccine,As directed by physician,,Fever Injection site reactions pain swelling redness Chills Joint inflammation
 Hypertension (high blood pressure),Starpress R XL 50 Tablet,As directed by physician,,Nausea Taste change Vomiting Diarrhea Constipation Cough Dizziness Weakness Headache Cold extremities Slow heart rate Numbness of extremity Increased potassium level in blood Decreased blood pressure
Prevention of Infections,Silverkind Nanofine Gel,As directed by physician,Limited data available,
Treatment of Bacterial infections,Sporidex 125 Tablet DT,As directed by physician,,Abdominal pain Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
 Pain due to muscle spasm,Spafast D 2mg/37.5mg Injection,As directed by physician,,Nausea Vomiting Diarrhea Heartburn Stomach pain epigastric pain Loss of appetite
Treatment of Type 2 diabetes mellitus,Starvog 0.3 Tablet MD,As directed by physician,,Skin rash Flatulence Abdominal pain Diarrhea
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Stalopam 20 Tablet,As directed by physician,,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
Treatment of Chronic obstructive pulmonary disease (COPD),Salbair-I 100mcg/40mcg Transcaps,As directed by physician,,Dryness in mouth Breathlessness Cough Tremors Headache Palpitations Muscle cramp
Treatment of Intestinal ulcersTreatment of Stomach ulcers,Sucral Kid Oral Suspension,As directed by physician,Constipation,
 Bacterial infections,Swich XP 1000mg Injection,As directed by physician,,Diarrhea Increased liver enzymes Allergic reaction Rash
Treatment of Benign prostatic hyperplasia,Sildoo 4 Capsule,As directed by physician,,Retrograde ejaculation Dizziness Diarrhea Orthostatic hypotension sudden lowering of blood pressure on standing Headache Blurred vision Nasopharyngitis inflammation of the throat and nasal passages Nasal congestion stuffy nose
Treatment of Bacterial infections,Supacef 750mg Injection,As directed by physician,,Rash Vomiting Allergic reaction Increased liver enzymes Nausea Injection site reaction Diarrhea
Treatment of Intermittent claudication,Stozic 50 Tablet,As directed by physician,,Headache Palpitations Abnormal stool Diarrhea Dizziness Bleeding disorder Edema swelling Abdominal pain Inflammation of the nose Increased heart rate
 Chronic obstructive pulmonary disease (COPD),Sequadra Inhaler,As directed by physician,,Indigestion High blood pressure Nasopharyngitis inflammation of the throat and nasal passages Chest pain Fever Urinary retention Sore throat Cough Headache Dizziness Allergic reaction Increased glucose level in blood Inflammation of the nose Sinus inflammation Urinary tract infection
 Chronic obstructive pulmonary disease (COPD),Spirodin-AX Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Headache Irritation Insomnia difficulty in sleeping Fast heart rate Extrasystoles Increased respiratory rate
 Allergic conditions,Smarti Tablet,As directed by physician,,Dizziness Headache Sleepiness Dryness in mouth Fatigue Weakness
 Hormone replacement therapyTreatment of Female infertility,Strone SR 200 Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Sertee 50 Tablet,As directed by physician,,Delayed ejaculation Erectile dysfunction Indigestion Insomnia difficulty in sleeping Low sexual desire Nausea Tremors Diarrhea Increased sweating Loss of appetite Sleepiness Taste change
Treatment of Hypertension (high blood pressure),Starpress T 25-XL Tablet,As directed by physician,,Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Salbetol 2 Tablet,As directed by physician,,Tremors Headache Palpitations Increased heart rate Muscle cramp Nervousness
Treatment of Bacterial infections,Sporidex Redimix Suspension,As directed by physician,,Abdominal pain Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
Treatment of Allergic conditions,Safecet 10 Tablet,As directed by physician,,Sleepiness Fatigue Dryness in mouth Headache Vomiting Nasopharyngitis inflammation of the throat and nasal passages
 Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Sprintas 100mg Capsule,As directed by physician,,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
Treatment of Chronic obstructive pulmonary disease (COPD),Salbair I Neb 0.63mg Transpules 2.5ml,As directed by physician,,Dryness in mouth Breathlessness Cough Tremors Headache Palpitations Muscle cramp
Treatment of Vertigo,Stugil D Tablet,As directed by physician,,Drowsiness Headache Stomach pain Dryness in mouth
 Hormone replacement therapyTreatment of Female infertility,Seacure -SR 200 Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
 Muscle relaxation,Synaptol 100 Tablet,As directed by physician,,Sleepiness Fatigue Dryness in mouth Muscle weakness Nausea Vomiting Abdominal pain
 High levels of prolactin Female infertility Acromegaly,Sicriptin 1.25 Tablet,As directed by physician,,Nausea Headache Dizziness Fatigue Constipation Inflammation of the nose Weakness
Treatment of Chronic obstructive pulmonary disease (COPD),Seretide 250 Evohaler,As directed by physician,,Headache Cough Upper respiratory tract infection Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
Treatment of Type 2 diabetes mellitus,Sugamet MC 500 Tablet SR,As directed by physician,,Nausea Taste change Loss of appetite Diarrhea Stomach pain
Treatment of Bacterial infections,Synclar Paediatric Dry Syrup Banana,As directed by physician,,Skin rash Abdominal pain Diarrhea Nausea Vomiting Headache Rash Injection site phlebitis Insomnia difficulty in sleeping Abnormal taste Dyspepsia Taste change Abnormal liver function tests
Treatment of Ocular hypertensionTreatment of Glaucoma,Synobrim-T Eye Drops,As directed by physician,Application site reactions burning irritation itching and redness Blurred vision,
 Schizophrenia Depression Bipolar disorder,Spenzo Depot 40 Injection,As directed by physician,,Sleepiness Orthostatic hypotension sudden lowering of blood pressure on standing Dryness in mouth Abnormality of voluntary movements Weight gain Increased prolactin level in blood Urinary retention Constipation Muscle stiffness Tremors Injection site reactions pain swelling redness
 Epilepsy/Seizures,Selzic 300 Tablet,As directed by physician,,Headache Nausea Vomiting Fatigue Dizziness Nystagmus involuntary eye movement Tremors Vertigo Drowsiness Abnormality of voluntary movements Abnormal gait Visual disturbance Increased sodium level in blood
 Parkinson's disease,Syncapone 50 Tablet,As directed by physician,,Urine discoloration Headache Dryness in mouth Insomnia difficulty in sleeping Anxiety Dizziness Abnormal dreams Involuntary muscle movement Gastrointestinal disturbance
Treatment of DepressionTreatment of Anxiety disorderTreatment of Diabetic nerve painTreatment of FibromyalgiaTreatment of Neuropathic painTreatment of Stress urinary incontinence,Symbal 40 Tablet,As directed by physician,,Nausea Headache Dryness in mouth Sleepiness Dizziness
Treatment of Infectious diarrhea,Sibofix 200 Tablet,As directed by physician,,Headache Nausea Fever Abdominal pain Vomiting Flatulence Constipation Tenesmus increased urge to pass stools
Treatment of Acne,Sotret 30mg Capsule,As directed by physician,,Dry skin Increased liver enzymes Rash
 Parkinson's disease,Syncapone 150 Tablet,As directed by physician,,Urine discoloration Headache Dryness in mouth Insomnia difficulty in sleeping Anxiety Dizziness Abnormal dreams Involuntary muscle movement Gastrointestinal disturbance
 Hormone replacement therapyTreatment of Female infertility,Seacure SR 300 Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Sertima 100 Tablet,As directed by physician,,Delayed ejaculation Erectile dysfunction Indigestion Insomnia difficulty in sleeping Low sexual desire Nausea Tremors Diarrhea Increased sweating Loss of appetite Sleepiness Taste change
Treatment of Hypertension (high blood pressure),Starpress-AM XL 25 Tablet,As directed by physician,,Nausea Slow heart rate Abdominal pain Dizziness Fatigue Sleepiness Ankle swelling Constipation Edema swelling Flushing sense of warmth in the face ears neck and trunk Palpitations Headache Vomiting Visual disturbance Orthostatic hypotension sudden lowering of blood pressure on standing Breathlessness Muscle cramp
 Multiple sclerosis (MS),Sclerifuma 120 Capsule DR,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Abdominal pain Diarrhea Nausea Vomiting Indigestion Stomach inflammation Increased liver enzymes Rash
 Neuropathic pain,Sentidor Gel,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Pancreatic enzyme deficiency,Serutan 212.5mg Tablet,As directed by physician,,Stomach pain Bloating Diarrhea
 High cholesterol Prevention of heart attack and stroke,Simvotin 10 Tablet,As directed by physician,,Constipation Headache Upper respiratory tract infection Abdominal pain Nausea
 Psoriasis,Sorifix Solo Ointment,As directed by physician,,Dry skin Skin irritation Itching Burning sensation Stinging sensation Rash
